Component,User Action,Pre Condition,Expected Result,Priority,Requires File,Steps,Status,,,
Browse Pictures_Manasa,Browse pictures_registered user,"1.login with registered user credentials 
2.navigate to Automobiles category 
3.post an image in the selected category(call R_03_Ts_01_TC_003)",It should display the pictures related to Automobiles category||It should display the pictures related to that category,Medium,,click on browse pictures||Repeat the above steps for all the categories and sub categories,,,,
,,,,,,,,,,
Browse Pictures_Manasa,Browse pictures_power user,"1.login with power user credentials 
2.navigate to Automobiles category 
3.post an image in the selected category(call R_03_Ts_01_TC_003)",It should display the pictures related to Automobiles category||It should display the pictures related to that category,Medium,,click on browse pictures||Repeat the above steps for all the categories and sub categories,,,,
,,,,,,,,,,
Top Ads_Manasa,Top Ads_guest user,"1.Enter url 
2.navigate to Automobiles categories page 
3.post the ads according to the test data column by using registed user or power user valid login credentials(call R_03_Ts_01_TC_003)
4.view the ads (call R_05_Ts_01_TC_001)",It should display the ads which was viewed frequently (the ad which was viewed 5 times in test data) by all users for Automobiles category||It should display the ads which was viewed most by all users for that category,Medium,,click on top ads||Repeat the above steps for all the categories and sub categories each one at a time,,,,
,,,,,,,,,,
Top Ads_Manasa,Top Ads_registered user,"1.login with registered user credentials 
2.navigate to Automobiles category
3.post the ads according to the test data column(call R_03_Ts_01_TC_003)",It should display the ads which was viewed frequently (the ad which was viewed 5 times in test data) by all users for Automobiles category||It should display the ads which was viewed most by all users for that category,Medium,,click on top ads||Repeat the above steps for all the categories and sub categories,,,,
,,,,,,,,,,
Top Ads_Manasa,Top Ads_power user,"1.login with power user credentials 
2.navigate to Automobiles category 
3.post the ads according to the test data column(call R_03_Ts_01_TC_003)",It should display the ads which was viewed frequently (the ad which was viewed 5 times in test data column) by all users for Automobiles category||It should display the ads which was viewed most by all users for that category,Medium,,click on top ads||Repeat the above steps for all the categories and sub categories,,,,
,,,,,,,,,,
Latest Ads_Manasa,Latest ads_guest user,"1.Enter url 
2.navigate to Automobiles categories page 
3.post the ads according to the test data column(call R_03_Ts_01_TC_003)",It should display the latest ads (the ad which was posted on 14/11/2017 )  of Automobiles category||It should display the latest ads of that particular category,Medium,,click on latest ads||Repeat the above steps for all the categories and sub categories,,,,
,,,,,,,,,,
Latest Ads_Manasa,Latest ads_registered user,"1.login with registered user credentials 
2.navigate to Automobiles category 
3.post ads according to the test data column",It should display the latest ads (the ad which was posted on 14/11/2017 ) of Automobiles category||It should display the latest ads of that particular category,Medium,,click on latest ads||Repeat the above steps for all the categories and sub categories,,,,
,,,,,,,,,,
Latest Ads_Manasa,Latest ads_power user,"1.login with power user credentials 
2.navigate to Automobiles category 
3.post the ads according to the test data column",It should display the latest ads (the ad which was posted on 14/11/2017 )  of Automobiles category||It should display the latest ads of that particular category,Medium,,click on latest ads||Repeat the above steps for all the categories and sub categories,,,,
,,,,,,,,,,
Top rated ads_Manasa,Top rated ads_guest user,"1.Enter url 
2.navigate to Automobiles categories 
3.post the ads according to the test data column",It should display the top rated ads (the ad which was given rating as 5 in test data colum) of Automobiles category||It should display the top rated ads of that particular category,Medium,,click on top rated ads||Repeat the above steps for all the categories and sub categories,,,,
,,,,,,,,,,
Top rated ads_Manasa,Top rated ads_registered user,"1.Enter registered user valid login credentials 
2.navigate to Automobiles categories page 
3.post the ads corresponding to the test data column",It should display the top rated ads (the ad which was given rating as 5 in test data colum) of Automobiles category||It should display the top rated ads of that particular category,Medium,,click on top rated ads||Repeat the above steps for all the categories and sub categories,,,,
,,,,,,,,,,
Top rated ads_Manasa,Top rated ads_power user,"1.Enter power user valid login credentials 
2.navigate to Automobiles categories page 
3.post the ads according to the steps of the test data column",It should display the top rated ads (the ad which was given rating as 5 in test data colum) of Automobiles category||It should display the top rated ads of that particular category,Medium,,click on top rated ads||Repeat the above steps for all the categories and sub categories,,,,
,,,,,,,,,,
My favourites_Manasa,My favourites_registered user,"1.Enter registered user valid login credentials
2.Navigate to Automobiles category  ",It should navigate to the another page displaying different ads||Is should navigate to another page another page displaying the details of the ad||The ad should be added to the favourites list||It should display the favourite ads for that user,Medium,,click on view ads||select an ad from the list of the displayed ads||add the ad to the favourites||click on favourite ads,,,,
,,,,,,,,,,
My favourites_Manasa,My favourites_power user,"1.Enter power user valid login credentials 
2.Naviagate to Automobiles category",It should navigate to the another page displaying different ads||Is should navigate to another page another page displaying the details of the ad||The ad should be added to the favorites list||It should display the favorite ads for that user,Medium,,click on view ads||select an ad from the list of the displayed ads||add the ad to the favorites||click on favorite ads,,,,
,,,,,,,,,,
Notify ads_Manasa,Notify ads registered user,"1.Enter registered user valid login credentials 
2.post an ad in the user selected category(call R_03_Ts_01_TC_003)",The user should get an email showing notification of new ads for the selected category||The user should get an email showing notification of new ads for the selected category,Medium,,click on notify new ads ||Repeat the above step for all categories,,,,
,,,,,,,,,,
Notify ads_Manasa,Notify ads power user,"1.Enter power user valid login credentials 
2.post an ad in the user selected category(call R_03_Ts_01_TC_003)",The user should get an email showing notification of new ads for the selected category||The user should get an email showing notification of new ads for the selected category,Medium,,click on notify new ads ||Repeat the above step for all categories,,,,
,,,,,,,,,,
Search_Manasa,Search guest users,1.Enter urn and navigate to the homepage of the application 2.select the Automobiles category,It should display all ads and information related to Automobiles category||It should display all ads and information related to selected category,Medium,,Type the data that you want to search for in the search box||Repeat the above step for all categories,,,,
,,,,,,,,,,
Search_Manasa,Search registered users,"1.login with registered user credentials 
2.navigate to Automobiles category",It should display all ads and information related to Automobiles category||It should display all ads and information related to selected category,Medium,,Type the data that you want to search for in the search box||Repeat the above step for all categories,,,,
,,,,,,,,,,
Search_Manasa,Search power users,"1.login with power user credentials 
2.navigate to Automobiles category",It should display all ads and information related to Automobiles category||It should display all ads and information related to selected category,Medium,,Type the data that you want to search for in the search box||Repeat the above step for all categories,,,,
,,,,,,,,,,
Selecting ad_Manasa,selecting ad guest user,Enter urn and navigate to Automobiles categories page,It should navigate to another page displaying the selected ad information||It should navigate to another page displaying the selected ad information of selected category,Medium,,click on the ad which is already in the selected category||Repeat the above step for all categories,,,,
,,,,,,,,,,
Selecting ad_Manasa,selecting ad registered user,"1.Enter registered user valid login credentials 
2.navigate to Automobiles categories page",It should navigate to another page displaying the selected ad information||It should navigate to another page displaying the selected ad information of selected category,Medium,,click on the ad which is already in the selected category||Repeat the above step for all categories,,,,
,,,,,,,,,,
Selecting ad_Manasa,selecting ad power user,"1.Enter power user valid login credentials 
2.navigate to Automobiles categories page",It should navigate to another page displaying the selected ad information||It should navigate to another page displaying the selected ad information of selected category,Medium,,click on the ad which is already in the selected category||Repeat the above step for all categories,,,,
